intent,question_example,answer_summary,source
transmission,Can Hepatitis B spread through sharing a toothbrush?,"Yes, hepatitis B can spread if you share personal items that can have even tiny amounts of infected blood (like toothbrushes or razors). The virus spreads through infected blood and certain body fluids, so avoid sharing items that could break the skin or have blood on them. For the situation you mentioned (sharing toothbrush), the risk depends on contact with infected blood or certain body fluids not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
transmission,Is Hepatitis B transmitted through unprotected sex?,"Yes. Hepatitis B can be transmitted during unprotected sex because the virus is present in blood and sexual fluids. Using condoms and ensuring partners are vaccinated are key ways to reduce risk. For the situation you mentioned (unprotected sex), the risk depends on contact with infected blood or certain body fluids not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
transmission,Can I get Hepatitis B from casual contact like hugging?,"No, hepatitis B is not spread by casual contact like hugging, coughing, sneezing, or sharing food and drinks. It spreads when infected blood or certain body fluids enter another personal body (for example through sex, needle sharing, or from parent to baby at birth). For the situation you mentioned (casual contact like hugging), the risk depends on contact with infected blood or certain body fluids not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
transmission,Can Hepatitis B spread through contaminated needles?,"Yes. Sharing needles/syringes or using contaminated medical or drug-injection equipment can transmit hepatitis B because infected blood can enter the bloodstream. Always use sterile, single-use equipment and avoid sharing injection supplies. For the situation you mentioned (contaminated needles), the risk depends on contact with infected blood or certain body fluids not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
transmission,Is it possible to get Hep B from tattoo or piercing shops?,"It can, if the tattoo/piercing equipment isnt sterile. Hepatitis B spreads through infected blood, so the risk comes from needles or tools that arent properly sterilized between clients. Choose licensed providers who use new, sterile needles and follow infection-control practices. For the situation you mentioned (tattoo piercing shops), the risk depends on contact with infected blood or certain body fluids not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
transmission,Can Hep B be passed by sharing razors?,"Yes hepatitis B can spread if you share personal items that can have even tiny amounts of infected blood (like toothbrushes or razors). The virus spreads through infected blood and certain body fluids, so avoid sharing items that could break the skin or have blood on them. For the situation you mentioned (be passed sharing razors), the risk depends on contact with infected blood or certain body fluids not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
transmission,Can you get Hepatitis B from someone's saliva?,"Hepatitis B is mainly spread through infected blood and sexual fluids, and it can be present in saliva. However, everyday exposure to saliva without blood is not a common way it spreads risk increases if there are open sores or blood exposure. Safer choices: don't share items that may have blood (toothbrush/razor) and get vaccinated. For the situation you mentioned (someone's saliva), the risk depends on contact with infected blood or certain body fluids not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
transmission,Is Hep B airborne like COVID or flu?,"Hepatitis B spreads when infected blood or certain body fluids (including sexual fluids) enter another person's body. Common routes include unprotected sex, sharing needles/syringes, and passing it from a pregnant person to their baby at birth; it is not spread by casual contact like hugging or sharing food. For the situation you mentioned (airborne like COVID flu), the risk depends on contact with infected blood or certain body fluids not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
transmission,Can a child get Hep B from playing with another child?,"Hepatitis B spreads when infected blood or certain body fluids (including sexual fluids) enter another person's body. Common routes include unprotected sex, sharing needles/syringes, and passing it from a pregnant person to their baby at birth; it is not spread by casual contact like hugging or sharing food. For the situation you mentioned (playing another child), the risk depends on contact with infected blood or certain body fluids—not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
transmission,Can Hepatitis B spread through sharing drinks or utensils?,"No hepatitis B is not spread by casual contact like hugging, coughing, sneezing, or sharing food and drinks. It spreads when infected blood or certain body fluids enter another person's body (for example through sex, needle sharing, or from parent to baby at birth). For the situation you mentioned (sharing drinks utensils), the risk depends on contact with infected blood or certain body fluids not casual proximity.",WHO: https://www.who.int/news-room/fact-sheets/detail/hepatitis-b | CDC: https://www.cdc.gov/hepatitis-b/prevention/index.html | Hepatitis B Foundation: https://www.hepb.org/prevention-and-diagnosis/transmission/
